Node,OH,NomV,Vpu,P,Q,Qmin,Qmax,Vpu_obj,Phases,PhasesV,Subest,Feeder,
26956ab1-6006-410f-8761-8c5336af7478_0  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_1  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_2  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_3  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_4  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_5  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_6  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_7  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_8  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_9  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_10 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_11 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_12 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_13 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_14 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_17 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_18 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_19 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_20 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_21 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_22 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_23 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_24 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_25 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_26 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_27 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_28 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_29 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_30 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_31 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_32 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_33 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_34 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_35 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_36 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_37 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_38 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_39 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_40 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_41 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_42 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_43 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_44 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_45 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_46 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_47 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_48 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_49 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_50 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_51 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_52 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_53 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_54 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_55 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_56 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_57 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_58 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_59 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_60 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_61 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_62 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_63 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_64 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_0  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_1  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_2  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_3  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_4  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_5  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_6  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_7  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_8  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_9  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_10 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_11 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_12 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_13 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_14 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_17 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_18 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_19 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_20 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_21 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_22 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_23 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_24 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_25 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_26 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
a23de270-6f78-4b8c-a94f-c33066027738_27 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_0  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_1  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_2  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_3  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_4  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_5  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_6  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_7  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_8  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_9  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_10 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_11 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_12 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_13 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_14 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_17 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_18 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_19 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_20 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_21 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_22 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_23 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_24 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_25 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_26 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_27 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_28 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_29 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_30 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_31 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_32 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_33 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_34 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_35 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_36 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_37 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_38 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_39 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_40 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_41 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_42 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_43 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_44 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_45 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_46 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_47 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_48 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_49 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_50 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_51 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_52 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_53 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_54 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_55 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_56 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_57 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_58 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
edb9ec8c-1c0d-4127-bbb5-74c4694c5dfc_59 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
